,pressure (psi),temperature (deg F),failure
0,15.02,192.8,no
1,15.34,199.77,no
2,15.09,197.31,no
3,14.22,199.04,no
4,14.24,205.32,no
5,13.89,205.97,no
6,14.29,189.3,no
7,14.8,198.37,no
8,15.41,198.76,no
9,13.71,211.38,no
10,14.6,197.01,no
11,15.62,203.64,no
12,16.23,202.79,no
13,14.32,195.08,no
14,16.3,192.64,no
15,14.78,199.38,no
16,14.65,197.08,no
17,16.62,197.28,no
18,14.12,199.3,no
19,15.57,185.53,no
20,15.35,190.69,no
21,15.5,224.15,no
22,14.52,190.19,no
23,14.37,196.22,no
24,13.96,190.06,no
25,15.77,223.03,no
26,14.05,183.31,no
27,14.88,209.68,no
28,13.01,192.53,no
29,15.75,210.14,no
30,13.26,180.96,no
31,16.09,201.59,no
32,14.62,202.61,no
33,15.03,205.76,no
34,13.76,207.67,no
35,13.28,201.61,no
36,13.18,196.71,no
37,15.69,194.32,no
38,16.75,190.91,no
39,15.35,202.24,no
40,16.07,188.68,no
41,14.73,194.54,no
42,16.15,207.33,no
43,15.12,194.78,no
44,15.57,205.97,no
45,17.56,189.24,no
46,13.53,176.02,no
47,15.52,194.78,no
48,14.44,214.23,no
49,16.64,204.0,no
50,14.12,196.51,no
51,12.84,217.43,no
52,15.68,194.92,no
53,14.46,208.01,no
54,13.71,203.95,no
55,14.74,202.64,no
56,15.33,206.82,no
57,13.14,200.96,no
58,15.46,174.01,no
59,13.83,188.38,no
60,13.72,189.37,no
61,14.22,182.44,no
62,15.8,209.68,no
63,15.02,206.17,no
64,14.53,194.63,no
65,14.49,187.53,no
66,15.29,211.49,no
67,14.66,194.92,no
68,14.37,208.52,no
69,15.05,195.91,no
70,14.19,196.79,no
71,13.46,191.14,no
72,15.46,194.07,no
73,14.03,188.73,no
74,15.85,203.47,no
75,14.51,208.14,no
76,13.57,191.06,no
77,14.46,205.7,no
78,13.75,202.11,no
79,15.58,206.24,no
80,14.3,203.78,no
81,14.08,201.78,no
82,13.17,196.02,no
83,13.11,199.29,no
84,12.91,201.57,no
85,14.11,182.26,no
86,15.52,197.4,no
87,14.65,193.66,no
88,15.47,192.29,no
89,13.86,205.78,no
90,14.1,215.77,no
91,14.2,196.55,no
92,14.23,205.21,no
93,15.62,189.63,no
94,15.1,196.32,no
95,15.67,220.38,no
96,12.54,201.07,no
97,14.53,192.9,no
98,14.74,195.27,no
99,15.54,187.38,no
100,13.36,190.02,no
101,16.71,206.74,no
102,14.45,194.34,no
103,13.78,203.69,no
104,11.95,212.28,no
105,14.36,200.21,no
106,15.83,189.83,no
107,12.94,188.75,no
108,11.88,201.75,no
109,15.57,192.58,no
110,14.02,212.77,no
111,15.36,217.58,no
